name,oracle_id,cmc,type_line,mechanics_count,is_infinite_combo
Fervent Champion,8de50bda-1ef6-4ccf-9efc-fab10b7eb2e5,1.0,Creature — Human Knight,4,True
Everflowing Chalice,0a79237e-0811-4a8a-bd4d-db3ca91bff22,0.0,Artifact,3,True
Caller of the Claw,ec79255f-4b4d-4a0a-89d8-c59ba640275b,3.0,Creature — Elf,2,True
Archfiend of the Dross,9188031e-1c24-4981-a3d2-461a2bf917b6,4.0,Creature — Phyrexian Demon,2,True
Ornithopter,a3a98bc9-caa0-49b7-951c-fe4e4f54e4ba,0.0,Artifact Creature — Thopter,1,True
"Godo, Bandit Warlord",f890d51a-dc90-4179-8423-4738a72a527c,6.0,Legendary Creature — Human Barbarian,2,True
"Ith, High Arcanist",eb933723-b879-44c8-bbc8-d8c84ce5ab12,7.0,Legendary Creature — Human Wizard,3,True
Sling-Gang Lieutenant,4e93b23c-a7f7-4bdd-bbca-0dc48bb5c223,4.0,Creature — Goblin,2,True
Birds of Paradise,d3a0b660-358c-41bd-9cd2-41fbf3491b1a,1.0,Creature — Bird,1,True
Mortarpod,77248a76-373c-48fc-939f-aa378ab57f7c,2.0,Artifact — Equipment,5,True
The Scarab God,c75e55f2-fd6c-4816-9d96-21eeb8369aff,5.0,Legendary Creature — God,3,True
Nadir Kraken,5a73d439-bd78-42e1-90ae-eedd30536881,3.0,Creature — Kraken,2,True
"Quina, Qu Gourmet",2acb15bd-6c89-4ff3-ab32-beac67e9c88a,3.0,Legendary Creature — Qu,2,True
Champion of Lambholt,c549b0fd-1e08-4873-952e-a14dc45a0fd2,3.0,Creature — Human Warrior,1,True
Field of Souls,4d7a5b14-8fce-41f2-a0d5-fff3d15f41f6,4.0,Enchantment,2,True
Torch Courier,34e2d6eb-aad4-4776-872e-cebab3938aa0,1.0,Creature — Goblin,2,True
Star of Extinction,48220e6c-5752-46e0-9b7f-f0eef274d929,7.0,Sorcery,1,True
Basilisk Collar,f5f4dd28-f4ae-4d39-b9b8-6ebfd63c93fe,1.0,Artifact — Equipment,5,True
Lotus Ring,ca4d3d27-ea3a-44ac-96e9-b52b563129f8,3.0,Artifact — Equipment,4,True
Aerith Gainsborough,dd9a6f6b-f9b7-4292-bc80-b7da326de032,3.0,Legendary Creature — Human Cleric,2,True
The Cauldron of Eternity,a7308a1f-ec46-478e-86ea-33b2ebbd995f,12.0,Legendary Artifact,2,True
Great Oak Guardian,5dba7746-c087-4ec1-92ca-ab9882dea24d,6.0,Creature — Treefolk,4,True
Asmodeus the Archfiend,1e4032f6-9741-4845-9325-781c9e489172,6.0,Legendary Creature — Devil God,1,True
Vesperlark,b801a701-15ce-4792-a3d7-d632e7bd9f72,3.0,Creature — Elemental,3,True
"Hashaton, Scarab's Fist",db266661-f783-4907-9e52-6963eec05431,2.0,Legendary Creature — Zombie Wizard,2,True
Volcano Hellion,12a88c08-11e3-4f51-a17c-ca06452bac6f,4.0,Creature — Hellion,2,True
"Varragoth, Bloodsky Sire",68b41a04-8cb0-4edf-b488-a219494453ae,3.0,Legendary Creature — Demon Rogue,3,True
Feldon's Cane,9b884dfd-59f4-45c0-bf1e-6ad9f5b58895,1.0,Artifact,2,True
Brash Taunter,3e41648f-c5a9-4b26-b97e-8176fe5e9c85,5.0,Creature — Goblin,2,True
Mirari's Wake,852657c0-18a4-4b28-b9ae-7728acdb5044,5.0,Enchantment,1,True
Kiora's Dambreaker,795b903b-5260-4c06-b26f-a89cecdfa1f8,6.0,Creature — Leviathan,2,True
"Vorinclex, Voice of Hunger",dbf0ad03-ab31-49d2-89b1-05b45948a61f,8.0,Legendary Creature — Phyrexian Praetor,3,True
"Lonis, Cryptozoologist",0ee06ed0-717a-4bfa-b634-d00e013c1f16,2.0,Legendary Creature — Snake Elf Scout,2,True
Sun Titan,b2e950fb-cb7e-40a0-a311-5bbdd0477b29,6.0,Creature — Giant,1,True
"Niv-Mizzet, the Firemind",959acb66-84ca-4535-bca2-ad591895735e,6.0,Legendary Creature — Dragon Wizard,1,True
"Kenrith, the Returned King",d209b948-9afb-4fd1-a961-72c87282878c,5.0,Legendary Creature — Human Noble,3,True
Imperious Perfect,3fa71348-fa4d-4f39-a451-cf1570591991,3.0,Creature — Elf Warrior,1,True
Primeval Protector,a9581345-87dc-4fbd-acc1-bb629f2cf40f,11.0,Creature — Avatar,2,True
"Lavinia, Azorius Renegade",81ba3a33-0e04-4f68-9a42-1dd717733b57,2.0,Legendary Creature — Human Soldier,2,True
Cackling Counterpart,9e2adca5-f39c-4a09-bcce-8238ebac2c4a,3.0,Instant,4,True
Tranquil Thicket,9f8fe514-77ed-41b4-a6f3-c6f095bb97be,0.0,Land,2,True
Crystalline Crawler,5ea3e672-ae14-49a4-badb-f713497dd126,4.0,Artifact Creature — Construct,3,True
Scourge of Valkas,0a147009-a57c-4ac1-ab81-d8bd8b737631,5.0,Creature — Dragon,1,True
"Livio, Oathsworn Sentinel",53c6f2cf-ed3e-4c0c-ad42-56a6ce1622b6,2.0,Legendary Creature — Human Knight,3,True
Forgotten Cave,394c6de5-7957-4a0b-a6b9-ee0c707cd022,0.0,Land,2,True
"Ugin, the Spirit Dragon",eecb3047-a563-441a-9175-200421981ac3,8.0,Legendary Planeswalker — Ugin,1,True
Wakeroot Elemental,edc6db57-3519-4649-9c4a-5cf264cce26f,6.0,Creature — Elemental,2,True
Silence,8aed54cb-d1bb-45ad-adbe-38e55d84ff31,1.0,Instant,1,True
"Ozox, the Clattering King",04e575d1-f843-4330-972f-e77b264073e0,3.0,Legendary Creature — Skeleton Noble,1,True
Brash Taunter,3e41648f-c5a9-4b26-b97e-8176fe5e9c85,5.0,Creature — Goblin,2,True
Fleetfoot Panther,d99e8f94-4a8a-42a1-b5d0-2b08cacb8676,3.0,Creature — Cat,1,True
Borborygmos Enraged,b7505737-1fc8-4ee8-8b1d-5dde73b6a76d,8.0,Legendary Creature — Cyclops,3,True
Saheeli's Artistry,0038e74a-b950-47ff-8853-dba6a3b31091,6.0,Sorcery,1,True
"Wick, the Whorled Mind",5af729e8-8a40-4991-8270-612e377451de,4.0,Legendary Creature — Rat Warlock,3,True
Sevinne's Reclamation,1b9f9f5b-8712-4f00-90cb-1b7b9970eccc,3.0,Sorcery,3,True
Tuktuk Rubblefort,48dab180-4ffd-4b39-9f5a-6bdc017a1eae,3.0,Creature — Wall,3,True
"Jarad, Golgari Lich Lord",87e65e36-9483-49fe-b644-2caca092107f,4.0,Legendary Creature — Zombie Elf,1,True
Voltaic Key,09aeea91-b1dc-443f-a509-4758f052c0a7,1.0,Artifact,1,True
"Vadrok, Apex of Thunder",775c41fa-2316-43c9-af34-ac9c9b0db7e2,3.0,Legendary Creature — Elemental Dinosaur Cat,4,True
Consulate Crackdown,128f7e5a-17e0-4069-a185-c9f874c7d234,5.0,Enchantment,1,True
Feldon's Cane,9b884dfd-59f4-45c0-bf1e-6ad9f5b58895,1.0,Artifact,2,True
Lotus Bloom,04cf02dc-f053-414e-87d8-1537f25bcbf4,0.0,Artifact,5,True
Consecrated Sphinx,311a449d-dc74-46e6-9a47-6a597931f736,6.0,Creature — Sphinx,1,True
"Saryth, the Viper's Fang",4e07a0b3-f340-4ed1-a8a9-c25fe6f37fb3,4.0,Legendary Creature — Human Warlock,3,True
Enduring Renewal,47a080c4-ff04-4f52-aca0-2b8e4f4d931e,4.0,Enchantment,2,True
Glimmer Bairn,118cdf8b-44fb-4c3e-86c4-e7f4b1267646,1.0,Creature — Ouphe,1,True
Momentary Blink,a3ec6b5d-08ec-4ae0-b1db-c4b87a1849c7,2.0,Instant,3,True
Grand Abolisher,c749f23c-40c0-4159-b84c-a70cbb062c14,2.0,Creature — Human Cleric,2,True
"Prosper, Tome-Bound",1e9b0fd6-5aae-401a-8df5-d94ce6442696,4.0,Legendary Creature — Tiefling Warlock,5,True
Spine of Ish Sah,02f062f5-8012-4440-ac12-49fc49822106,7.0,Artifact,1,True
"Obeka, Splitter of Seconds",1d15a06f-5471-48f2-8c4a-9b0886bef5af,4.0,Legendary Creature — Ogre Warlock,1,True
Thawing Glaciers,c6792d9f-8b74-43c4-814f-ba4adab2fdea,0.0,Land,1,True
Nantuko Husk,0dcefc00-9425-43e3-bd47-1e34fff8b0e2,3.0,Creature — Zombie Insect,1,True
"Shorikai, Genesis Engine",e2962883-6daf-4a84-af73-917afc73092c,4.0,Legendary Artifact — Vehicle,4,True
Helm of Awakening,f2fcef65-4873-4b1f-a257-b8648097c990,2.0,Artifact,1,True
Leyline of the Void,f4e32fc1-1b8d-441e-8e76-71f19f98e925,4.0,Enchantment,1,True
Gorgon Flail,91dab3e2-039e-4db9-94e3-1146bced18ed,2.0,Artifact — Equipment,4,True
Lotus Bloom,04cf02dc-f053-414e-87d8-1537f25bcbf4,0.0,Artifact,5,True
Feldon of the Third Path,be094704-5232-4b10-beeb-aa9bbfae063d,3.0,Legendary Creature — Human Artificer,3,True
Marrow-Gnawer,2b934761-5720-477b-94b7-d1d91dc581a6,5.0,Legendary Creature — Rat Rogue,3,True
Bootleggers' Stash,d1deba03-b26a-4a0d-b242-24bb3a3f9ea6,6.0,Artifact,2,True
Furnace of Rath,68715465-6cf9-4006-87e9-31f227fe9ed3,4.0,Enchantment,1,True
Archetype of Imagination,a5458de0-0f61-49a3-a013-d90f92559809,6.0,Enchantment Creature — Human Wizard,1,True
Semblance Anvil,bbd0c406-c995-46e0-898d-375fdbede203,3.0,Artifact,3,True
The Fifth Doctor,992ddd9f-e0db-4383-909c-6dacca41d188,4.0,Legendary Creature — Time Lord Doctor,2,True
Phyrexian Ghoul,748c2723-dc59-4aa7-9667-d4679448c8b6,3.0,Creature — Phyrexian Zombie,1,True
"Brago, King Eternal",fcb0c7db-bd07-4c25-b7f8-b6c207e4f6be,4.0,Legendary Creature — Spirit Noble,2,True
"Karn, Legacy Reforged",bc8802db-8c94-4eb4-817f-5f4f5408b7a4,5.0,Legendary Artifact Creature — Golem,1,True
Irenicus's Vile Duplication,a3faf698-1dac-45ef-9c43-c8cead489ffc,4.0,Sorcery,2,True
Cloudpiercer,ed7885bf-c557-4328-b1a4-54780b2315f4,5.0,Creature — Dinosaur,4,True
"Kelsien, the Plague",5b3326a5-18c5-4d45-90e1-f6d00ca2bced,3.0,Legendary Creature — Human Assassin,3,True
The Underworld Cookbook,37d5c720-d090-44bc-91df-0a7bab79a03e,1.0,Artifact,4,True
Phyrexian Vindicator,9b5cfbb7-21ed-491d-b77d-547e4d30a7da,4.0,Creature — Phyrexian Horror,1,True
Ioreth of the Healing House,af6e4c3e-0276-4f72-9a70-25868fe8bba5,3.0,Legendary Creature — Human Cleric,1,True
Cloud of Faeries,adc1f3b4-cce7-42c9-a208-dbab1d1924f5,2.0,Creature — Faerie,4,True
Pontiff of Blight,f5a95092-fb71-4b55-bc54-782bd1c603e1,6.0,Creature — Zombie Cleric,2,True
Aluren,44e02e70-07ab-4795-8037-55185bd11d54,4.0,Enchantment,2,True
Solar Array,e8e2f273-5e74-4f16-8d49-2e86e9c9f2dc,3.0,Artifact,3,True
Arcbound Crusher,ee496b34-d8e0-482a-a2c2-3122ea376da0,4.0,Artifact Creature — Juggernaut,3,True
Initiates of the Ebon Hand,0bf359ef-669f-41dc-8ab5-ba8e58b2f398,1.0,Creature — Cleric,1,True
"Ghave, Guru of Spores",e579a72f-4933-40fe-9e57-96f8d65370bc,5.0,Legendary Creature — Fungus Shaman,3,True
Avenger of Zendikar,4ba5b3f6-503b-43e6-b66e-4f8c55cffed7,7.0,Creature — Elemental,3,True
Coveted Falcon,4c495e94-3194-47c7-8129-dd0a0f915daa,3.0,Artifact Creature — Bird,2,True
Arcane Laboratory,f5e3c26c-c28c-455f-a682-2597e4b92d10,3.0,Enchantment,1,True
Agatha's Soul Cauldron,c259e16f-2a44-4552-8678-815f757a02e8,2.0,Legendary Artifact,3,True
"Syr Konrad, the Grim",14c3ff84-1e82-4606-a433-869fc52cc382,5.0,Legendary Creature — Human Knight,1,True
Visara the Dreadful,79b999bc-2d4b-41e1-b64e-f0c080a9a2c5,6.0,Legendary Creature — Gorgon,2,True
"Purphoros, Bronze-Blooded",6728b9d0-d3ab-4ba3-af13-63cb83e0ed99,5.0,Legendary Enchantment Creature — God,3,True
Snake Umbra,70ed2052-f03c-461d-b32a-8835c97c559f,3.0,Enchantment — Aura,3,True
Junktroller,6ef46fd7-82db-45d3-b02e-7312384577f3,4.0,Artifact Creature — Golem,1,True
Leveler,ba1d34ab-7529-4f47-a5e7-7d8f66d7b901,5.0,Artifact Creature — Juggernaut,1,True
Oathsworn Vampire,e1fb696f-1df8-4571-9710-0d79001326d3,2.0,Creature — Vampire Knight,1,True
"Keiga, the Tide Star",521b1598-58c6-47a0-a7b3-021d70bf2b05,6.0,Legendary Creature — Dragon Spirit,1,True
Metropolis Reformer,baec04a1-3bc9-4618-afab-e42013e36648,3.0,Creature — Angel Cleric,3,True
The Chain Veil,fb88fb3d-6a85-4bb1-b316-7f759b45a0fa,4.0,Legendary Artifact,1,True
"Godo, Bandit Warlord",f890d51a-dc90-4179-8423-4738a72a527c,6.0,Legendary Creature — Human Barbarian,2,True
"Miren, the Moaning Well",03fe19bb-8e22-4030-8299-2ddd2d5a7eb2,0.0,Legendary Land,1,True
Tranquil Thicket,9f8fe514-77ed-41b4-a6f3-c6f095bb97be,0.0,Land,2,True
Phyrexian Altar,8d02b297-97c4-4379-9862-0a462400f66f,3.0,Artifact,1,True
Mirrorpool,57b86d5c-3269-44bc-a838-3c5439d820d9,0.0,Land,2,True
Pariah,2c5c8250-1860-42a1-a335-071f54830d37,3.0,Enchantment — Aura,1,True
"Gisela, the Broken Blade",f3e23d5e-bd88-4e7c-a3fb-db2a8cb05b22,4.0,Legendary Creature — Angel Horror,6,True
"Nevinyrral, Urborg Tyrant",3ddde895-12aa-488a-94fb-27a1064bdb72,6.0,Legendary Creature — Zombie Wizard,4,True
Hermit Druid,16f6438d-2a29-41cb-bf0c-4d02bd66112b,2.0,Creature — Human Druid,1,True
"Ishkanah, Grafwidow",6f4861f4-1b3b-4dbc-b55b-196075d0a693,5.0,Legendary Creature — Spider,3,True
Greater Good,dc0593c2-ccb4-4648-a592-c5bcd121dc72,4.0,Enchantment,2,True
Skullclamp,65986c1b-8e51-4604-b685-d82fa7d1263a,1.0,Artifact — Equipment,1,True
Trade Routes,120fa67e-e5e0-4c23-9a78-d6171d357aee,2.0,Enchantment,1,True
Fathom Mage,93d0e129-e3b5-4aff-9e50-f34771ed00ff,4.0,Creature — Human Wizard,2,True
Lightning Greaves,ca204b66-8d0c-431a-8d34-282f7c2d17da,2.0,Artifact — Equipment,3,True
Avenger of Zendikar,4ba5b3f6-503b-43e6-b66e-4f8c55cffed7,7.0,Creature — Elemental,3,True
Oracle of Mul Daya,6c5b02eb-7829-436a-8555-fea200e4b67f,4.0,Creature — Elf Shaman,1,True
Furnace of Rath,68715465-6cf9-4006-87e9-31f227fe9ed3,4.0,Enchantment,1,True
Twinflame Tyrant,321b5cc6-8df6-4292-97a0-a6a3a22f3b55,5.0,Creature — Dragon,2,True
"Kess, Dissident Mage",f5092c14-eec4-472c-999c-ba96c36b2fbb,4.0,Legendary Creature — Human Wizard,3,True
"Liberator, Urza's Battlethopter",798a4a6f-7443-4e8e-afcb-0a694fdfcbb3,3.0,Legendary Artifact Creature — Thopter,4,True
Estrid's Invocation,7f5f10ee-6428-4053-8824-3bc70420ec2c,3.0,Enchantment,1,True
Turnabout,715d0777-4d36-463b-9102-6bb6bb00b7e9,4.0,Instant,2,True
Hostage Taker,c5c2d209-e3ef-4b0d-85f5-e7402dcf09eb,4.0,Creature — Human Pirate,2,True
Leyline of the Void,f4e32fc1-1b8d-441e-8e76-71f19f98e925,4.0,Enchantment,1,True
Swords to Plowshares,b1544f21-7e98-461b-aed5-e748b0168c52,1.0,Instant,1,True
Witch's Oven,8fa0fe02-2452-4386-8e0c-165757b0f0a3,1.0,Artifact,3,True
"Wayta, Trainer Prodigy",e507df33-d150-4b21-8ddb-90799f412dd8,3.0,Legendary Creature — Human Warrior,3,True
"Rakdos, Lord of Riots",143a269a-b9ee-48ba-bd7b-4aa46eb36778,4.0,Legendary Creature — Demon,3,True
"Shorikai, Genesis Engine",e2962883-6daf-4a84-af73-917afc73092c,4.0,Legendary Artifact — Vehicle,4,True
Zur the Enchanter,d7950018-d744-48a8-81aa-0d8384703f48,4.0,Legendary Creature — Human Wizard,2,True
Fling,24227761-b50e-4b9e-93a2-e82d053b3e3d,2.0,Instant,2,True
Ornithopter,a3a98bc9-caa0-49b7-951c-fe4e4f54e4ba,0.0,Artifact Creature — Thopter,1,True
"Yuriko, the Tiger's Shadow",a7043fbd-1dfd-42cf-be4b-cc343d0949e5,3.0,Legendary Creature — Human Ninja,3,True
Utvara Hellkite,05a6a571-643e-429e-8e5c-1c3f8b0dc746,8.0,Creature — Dragon,2,True
Overseer of the Damned,c1f085ce-5b52-45b3-aef0-f77f36b3da36,7.0,Creature — Demon,3,True
Officious Interrogation,e57e448b-1186-4662-a6b0-01a9ce33b961,2.0,Instant,2,True
Urabrask the Hidden,5b2ffb53-86b7-4665-a5c7-b85b035b6c81,5.0,Legendary Creature — Phyrexian Praetor,1,True
Luminous Broodmoth,28c7c816-07e7-42fb-923c-bf149ba28b38,4.0,Creature — Insect,2,True
Out of Time,8491de1e-dc37-4a89-b4f7-56a2c668f0fc,3.0,Enchantment,4,True
Mischievous Poltergeist,c12b5b9a-a46e-4635-8603-62c2ca5ee58e,3.0,Creature — Spirit,2,True
Leyline Tyrant,f92aaa00-6ece-4033-b3df-b2fc2c4718d9,4.0,Creature — Dragon,1,True
Woe Strider,3adbd963-e85d-4569-963a-4472594f06f9,3.0,Creature — Horror,6,True
